id,novelId,startOrder,endOrder,runMode,autoReview,autoRepair,skipCompleted,qualityThreshold,repairMode,status,progress,completedCount,totalCount,retryCount,maxRetries,pendingManualRecovery,heartbeatAt,currentStage,currentItemKey,currentItemLabel,cancelRequestedAt,error,lastErrorType,promptTokens,completionTokens,totalTokens,llmCallCount,lastTokenRecordedAt,payload,startedAt,finishedAt,createdAt,updatedAt
cmr34l4940bruv16zb6g7couv,cmr23pgks000fv16zpwg1ms38,27,27,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,44330,22264,66594,5,2026-07-02T06:38:08.824+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-02T06:30:35.473+00:00,2026-07-02T06:38:09.010+00:00,2026-07-02T06:30:35.464+00:00,2026-07-02T06:38:09.011+00:00
cmr34uuyi0busv16z4p12y894,cmr23pgks000fv16zpwg1ms38,28,28,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,48910,21032,69942,7,2026-07-02T06:44:54.246+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第28章（coherence=70, repetition=85, engagement=72）"",""第28章建议局部处理（影响章节=28,29,30；原因=高优先级审计问题未解决：规定必须出场的李晴、小菲、王总全未出现，仅陈默和阿条在场。；整章场景为陈默私人聚会，阿力仅通过消息出现，未发生任何公开示好被拒事件，同事（李晴、小菲、王总）全未出场，冲突未升级至公开僵持。。）""]}",2026-07-02T06:38:09.987+00:00,2026-07-02T06:44:54.314+00:00,2026-07-02T06:38:09.978+00:00,2026-07-02T06:44:54.315+00:00
cmr353k3b0bw6v16zql2kismk,cmr23pgks000fv16zpwg1ms38,29,29,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,38382,16711,55093,5,2026-07-02T06:50:41.269+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-02T06:44:55.808+00:00,2026-07-02T06:50:41.539+00:00,2026-07-02T06:44:55.799+00:00,2026-07-02T06:50:41.540+00:00
cmr35azr70bysv16z3nrk8qg4,cmr23pgks000fv16zpwg1ms38,30,30,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,72584,30489,103073,9,2026-07-02T07:00:59.150+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-02T06:50:42.700+00:00,2026-07-02T07:00:59.411+00:00,2026-07-02T06:50:42.691+00:00,2026-07-02T07:00:59.413+00:00
cmr35o8av0c1uv16zg3jan6pw,cmr23pgks000fv16zpwg1ms38,31,31,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,71251,22682,93933,7,2026-07-02T07:08:48.554+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-02T07:01:00.306+00:00,2026-07-02T07:08:48.906+00:00,2026-07-02T07:01:00.295+00:00,2026-07-02T07:08:48.907+00:00
cmr35yao90c4vv16z4e4t9eci,cmr23pgks000fv16zpwg1ms38,32,32,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,66128,28323,94451,6,2026-07-02T07:18:14.645+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第32章（coherence=85, repetition=90, engagement=83）""]}",2026-07-02T07:08:49.938+00:00,2026-07-02T07:18:14.973+00:00,2026-07-02T07:08:49.929+00:00,2026-07-02T07:18:14.974+00:00
cmr36aeys0c84v16zupjb8s2k,cmr23pgks000fv16zpwg1ms38,33,33,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,41434,14414,55848,5,2026-07-02T07:23:09.662+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第33章（coherence=88, repetition=90, engagement=85）""],""replanAlertDetails"":[""第33章需要重规划（影响章节=33,34,35；原因=核心仪式段落质量高，达到了情感转折的写作目标；角色出场与目标变化义务因封闭空间设定无法执行，属于计划层面冲突，不应在本章强行修补，可推迟至后续章节。）""]}",2026-07-02T07:18:15.376+00:00,2026-07-02T07:23:09.910+00:00,2026-07-02T07:18:15.364+00:00,2026-07-02T07:23:09.911+00:00
cmr8k7n5h0d01v16zoimvetle,cmr23pgks000fv16zpwg1ms38,34,34,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,65050,19085,84135,7,2026-07-06T01:53:20.747+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr8k7gfc0cbhv16znv7f5t5y"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-06T01:46:51.524+00:00,2026-07-06T01:53:21.041+00:00,2026-07-06T01:46:51.509+00:00,2026-07-06T01:53:21.042+00:00
cmr8kfzyx0d2lv16zt4t8ajdr,cmr23pgks000fv16zpwg1ms38,35,35,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,37603,11071,48674,5,2026-07-06T01:57:09.674+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr8k7gfc0cbhv16znv7f5t5y"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-06T01:53:21.381+00:00,2026-07-06T01:57:09.952+00:00,2026-07-06T01:53:21.369+00:00,2026-07-06T01:57:09.953+00:00
cmr8kkxj90d4xv16z5b41k3ww,cmr23pgks000fv16zpwg1ms38,36,36,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,77308,26140,103448,9,2026-07-06T02:04:26.558+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr8k7gfc0cbhv16znv7f5t5y"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-06T01:57:11.504+00:00,2026-07-06T02:04:26.919+00:00,2026-07-06T01:57:11.493+00:00,2026-07-06T02:04:26.920+00:00
cmr8ku9uw0d7wv16zhvy0t603,cmr23pgks000fv16zpwg1ms38,37,37,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,40744,15138,55882,5,2026-07-06T02:09:44.973+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr8k7gfc0cbhv16znv7f5t5y"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-06T02:04:27.380+00:00,2026-07-06T02:09:45.283+00:00,2026-07-06T02:04:27.368+00:00,2026-07-06T02:09:45.284+00:00
cmr8l13pq0dakv16zv9qwudw2,cmr23pgks000fv16zpwg1ms38,38,38,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,72035,28323,100358,7,2026-07-06T02:17:10.611+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr8k7gfc0cbhv16znv7f5t5y"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第38章（coherence=90, repetition=90, engagement=88）""]}",2026-07-06T02:09:46.008+00:00,2026-07-06T02:17:10.956+00:00,2026-07-06T02:09:45.998+00:00,2026-07-06T02:17:10.957+00:00
cmr8lanim0ddsv16zuqx8oi7w,cmr23pgks000fv16zpwg1ms38,39,39,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,71528,29892,101420,8,2026-07-06T02:24:37.649+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr8k7gfc0cbhv16znv7f5t5y"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第39章（coherence=85, repetition=90, engagement=82）""]}",2026-07-06T02:17:11.576+00:00,2026-07-06T02:24:37.840+00:00,2026-07-06T02:17:11.566+00:00,2026-07-06T02:24:37.841+00:00
cmr8lk8zp0dgov16zbn7ashcm,cmr23pgks000fv16zpwg1ms38,40,40,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,71295,25965,97260,7,2026-07-06T02:31:52.513+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr8k7gfc0cbhv16znv7f5t5y"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第40章（coherence=85, repetition=90, engagement=85）""]}",2026-07-06T02:24:39.311+00:00,2026-07-06T02:31:52.730+00:00,2026-07-06T02:24:39.301+00:00,2026-07-06T02:31:52.730+00:00
